file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),a (-),Re (-),At (-),St (-),Fr (-),L (-)


run_000.nc,Cyril,IMFT,run_000.nc,silica sand,sand80m_H19 -- run01,IMFT,2.965e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.046e+03,4.822e-01,3.122e-01,2.042e+00,6.600e+04,4.916e-02,3.887e-02,4.027e-01,1.369e-04
run_001.nc,Cyril,IMFT,run_001.nc,silica sand,sand80m_H19 -- run02,IMFT,1.167e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.016e+03,1.897e-01,1.958e-01,2.042e+00,4.022e+04,1.934e-02,6.196e-02,4.312e-01,2.611e-03
run_002.nc,Cyril,IMFT,run_002.nc,silica sand,sand80m_H19 -- run03,IMFT,6.416e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.103e+03,1.044e+00,4.593e-01,2.042e+00,1.024e+05,1.064e-01,2.642e-02,3.996e-01,-1.055e-03
run_003.nc,Cyril,IMFT,run_003.nc,silica sand,sand80m_H19 -- run04,IMFT,1.264e-01,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.206e+03,2.055e+00,6.445e-01,2.042e+00,1.571e+05,2.095e-01,1.883e-02,3.871e-01,-2.465e-03
run_004.nc,Cyril,IMFT,run_004.nc,silica sand,sand80m_H19 -- run05,IMFT,9.721e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.158e+03,1.581e+00,5.653e-01,2.042e+00,1.323e+05,1.612e-01,2.146e-02,3.968e-01,-2.955e-03
run_005.nc,Cyril,IMFT,run_005.nc,silica sand,sand80m_H19 -- run06,IMFT,2.916e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.045e+03,4.743e-01,3.096e-01,2.042e+00,6.541e+04,4.835e-02,3.919e-02,3.700e-01,-2.032e-03
run_006.nc,Cyril,IMFT,run_006.nc,silica sand,sand80m_H19 -- run07,IMFT,8.749e-03,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.011e+03,1.423e-01,1.696e-01,2.042e+00,3.467e+04,1.451e-02,7.155e-02,4.319e-01,3.715e-03
run_007.nc,Cyril,IMFT,run_007.nc,silica sand,sand80m_H19 -- run08,IMFT,7.971e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.129e+03,1.297e+00,5.119e-01,2.042e+00,1.168e+05,1.322e-01,2.370e-02,3.600e-01,-5.279e-03
