# case;phi;alpha;g sin(alpha);g cos(alpha);rho_f;rho_p;L_reservoir;H_reservoir;W_reservoir;dp;Vs;tmax;alpha;U0;St
# Units;(-);(rad);(kg.m^-2.s^-2);(m^2.s^-1);(kg.m^3);(kg.m^3);(m);(m);(m);(m);(m/s);(s);(deg);(m/s);(-)
run37;0.0154;0;0.0000;9.8100;1000;1190;0.3;0.5;1;2.50E-04;0.0055;100;0;0.120;0.046
run42;0.0144;0.122173048;1.1955;9.7369;1000;1190;0.3;0.5;1;2.50E-04;0.0055;100;7;0.116;0.047
run16;0.0164;0.556760031;5.1840;8.3284;1000;1190;0.3;0.5;1;2.50E-04;0.0055;100;31.9;0.124;0.044
run07;0.0171;0.79237948;6.9850;6.8881;1000;1190;0.3;0.5;1;2.50E-04;0.0055;25;45.4;0.126;0.043
run02;0.4615;0.79237948;6.9850;6.8881;1000;1190;0.3;0.5;1;2.50E-04;0.0055;;45.4;0.656;0.008
run42b;0.0144;0.122173048;1.1955;9.7369;1000;1190;0.3;0.5;1;6.50E-04;0.0217;100;7;0.116;0.187
run42c;0.0144;0.122173048;1.1955;9.7369;1000;1190;0.3;0.5;1;1.00E-04;0.0010;100;7;0.116;0.008
run37a;0.2;0;0.0000;9.8100;1000;1190;0.3;0.5;1;2.00E-04;0.0038;100;0;0.432;0.009
run37b;0.4;0;0.0000;9.8100;1000;1190;0.3;0.5;1;2.00E-04;0.0038;100;0;0.611;0.006
run37c;0.5;0;0.0000;9.8100;1000;1190;0.3;0.5;1;2.00E-04;0.0038;100;0;0.683;0.006
