file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),t0 (s),a (-),Re (-),At (-),St (-),Fr (-),lamb (-)


run_000.nc,Cyril,IMFT,run_000.nc,silica sand,sand80m_H19 -- run01,IMFT,2.965e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.046e+03,4.822e-01,3.110e-01,3.184e-01,2.042e+00,6.574e+04,4.916e-02,3.902e-02,4.048e-01,2.400e-04
run_001.nc,Cyril,IMFT,run_001.nc,silica sand,sand80m_H19 -- run02,IMFT,1.167e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.016e+03,1.897e-01,1.950e-01,5.076e-01,2.042e+00,4.006e+04,1.934e-02,6.221e-02,4.336e-01,3.120e-03
run_002.nc,Cyril,IMFT,run_002.nc,silica sand,sand80m_H19 -- run03,IMFT,6.416e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.103e+03,1.044e+00,4.574e-01,2.164e-01,2.042e+00,1.020e+05,1.064e-01,2.653e-02,4.018e-01,-1.248e-03
run_003.nc,Cyril,IMFT,run_003.nc,silica sand,sand80m_H19 -- run04,IMFT,1.264e-01,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.206e+03,2.055e+00,6.420e-01,1.542e-01,2.042e+00,1.565e+05,2.095e-01,1.890e-02,3.885e-01,-3.200e-03
run_004.nc,Cyril,IMFT,run_004.nc,silica sand,sand80m_H19 -- run05,IMFT,9.721e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.158e+03,1.581e+00,5.630e-01,1.758e-01,2.042e+00,1.317e+05,1.612e-01,2.155e-02,3.986e-01,-3.695e-03
run_005.nc,Cyril,IMFT,run_005.nc,silica sand,sand80m_H19 -- run06,IMFT,2.916e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.045e+03,4.743e-01,3.084e-01,3.210e-01,2.042e+00,6.515e+04,4.835e-02,3.935e-02,3.719e-01,-2.695e-03
run_006.nc,Cyril,IMFT,run_006.nc,silica sand,sand80m_H19 -- run07,IMFT,8.749e-03,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.011e+03,1.423e-01,1.689e-01,5.861e-01,2.042e+00,3.453e+04,1.451e-02,7.183e-02,4.345e-01,4.415e-03
run_007.nc,Cyril,IMFT,run_007.nc,silica sand,sand80m_H19 -- run08,IMFT,7.971e-02,1.161e-04,2.650e+03,7.400e-03,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,1.213e-02,1.129e+03,1.297e+00,5.099e-01,1.942e-01,2.042e+00,1.163e+05,1.322e-01,2.380e-02,3.616e-01,-7.320e-03
